Parque Arqueologico,Elemento arqueológico,Nombre elemento arqueológico,Código ICANH,Descripción,Ubicación actual dentro del parque,Datos historicos,Dimensiones visibles,Técnica de elaboración,Datos bibliograficos
San Agustín,escultura,Figura masculina sin rostro,No.  380,Personaje sin rostro. Lleva tocado en la cabeza; grandes orejas; brazos doblados y cruzados a la altura  del pecho y cubre sexo. No tiene pies,Bosque de las estatuas,Se desconoce la ubicación de origen dentro del área arqueológica de San Agustín.,90cm  x 43cm x 34 cm,"Talla poco trabajada, sin detalle de talla en la parte posterior","Sotomayor María Lucia, Uribe Maria Victoria. Estatuaria del Macizo Colombiano. Colcultura. Bogotá. 1987. Pág. 212. Escultura No. 380
Gamboa Hinestrosa Pablo. La escultura en la sociedad agustiniana. Universidad Nacional de Colombia.  Bogotá. 1982. Pág. 125. Foto 70"
San Agustín,escultura,Figura masculina con una cara sobre el cuerpo,No. 24,"Figura humana que tiene  cubierta la cabeza con un bonete en forma de pirámide truncada, y con ambas manos sostiene sobre el pecho una figura en forma de media luna. En una de las caras del bonete se ve un dibujo de época reciente”(Cuervo  Márquez)",Bosque de las estatuas,Esta escultura se encontró en el montículo noroeste de la mesita B. Según los  investigadores de la zona; este montículo lo encontraron muy revuelto no sólo por los saqueadores y el traslado de estatuas a otro lado; sino por el terremoto acaecido  en 1834. Esta escultura fue encontrada mirando hacia el occidente.,174cm  x 70cm x 46 cm,"Talla en todos los costados, profunda, volúmenes definidos, detalles de dientes incisos.","Sotomayor María Lucia, Uribe Maria Victoria. Estatuaria del Macizo Colombiano. Colcultura. Bogotá. 1987. Pág. 72.  Escultura No.24
Pérez de Barradas José. Arqueología agustiniana. Excavaciones realizadas de marzo a diciembre de 1937. Imprenta nacional. Bogotá. 1943. Página 68;  Lámina 85 y 86.
Reichel- Dolmatoff, Gerardo. San Agustín a culture of Colombia. Praeger Publishers. New York. Washington.  1972. Lámina 84
Preuss K. TH. Arte Monumental Prehistórico. Universidad Nacional de Colombia. Bogotá. 1974. Pág. 80. 
Cuervo Márquez Carlos. Estudios arqueológicos y etnográficos.  Editorial Kelly. 1956. Pág. 137, figura 20"
San Agustín,escultura,Figura con una serpiente,No. 40,"La cabeza es excesivamente grande, el cuerpo pequeño, las piernas delgadas y las rodillas excepcionalmente salientes. Una línea en forma de arco encima de los ojos y la parte superior de la nariz,  tiene un  gorro escalonado por ambos lados y un tocado pequeño en la corona.  La parte inferior de la cabeza de la serpiente tiene una forma de espiral que, hacia arriba y hacia adentro, da la vuelta, lo mismo que en las cabezas de los monos. Solo en el pie derecho se ven los cinco dedos mal labrados. Vista por la espalda, se advierte que la cabeza esta claramente separada del dorso; todo lo demás por este lado carece  de formas regulares. La estatua remata en la parte inferior en un ángulo terminado en dos curvas.",Bosque de las estatuas,"Procedente  montículo sur de la mesita B. El primero es describir  las estatuas encontrada en este montículo fue Codazzi: 1914. “se encontraban una después de las otras, a la vera del camino”. La No. 40 y la No. 41 se encontraban juntas. Estos monolitos estaban  muy cerca al montículo sur pero hacia el centro de la mesita B y se puede colegir que no fueron hechas para ser enterradas. Estas mismas estatuas fueron descritas por otros investigadores, sin añadir nada nuevo a lo dicho por Codazzi. (Sotomayor y Uribe).",123 cm  x  72cm x 45 cm.,Talla profunda. Formas naturalistas de muchos detalles con juego de diferentes planos que se superponen.; textura homogénea. Parte posterior con forma sin decoración.,"Sotomayor María Lucia, Uribe Maria Victoria. Estatuaria del Macizo Colombiano. Colcultura. Bogotá. 1987. Esc. No 40
Pérez de Barradas José. Arqueología agustiniana. Excavaciones realizadas de marzo a diciembre de 1937. Imprenta         nacional. Bogotá. 1943. Página 58;  Lámina59-60
Duque Gómez, Luis. Exploraciones arqueológicas en San Agustín. Ministerio de Educación Nacional. Instituto  Colombiano de Antropología. Revista  Colombiana de antropología. Suplemento No.1. Bogotá. 1964. Lamina XXXVII.
Reichel- Dolmatoff, Gerardo. San Agustín a culture of Colombia. Praeger Publishers. New York. Washington.  1972.  Pág    95. Lamina 65
Preuss K. TH. Arte Monumental Prehistórico. Universidad nacional de Colombia. Bogotá. 1974. Pág. 77.  Plancha: 26,     2:27, 2.  
Cuervo Márquez Carlos. Estudios arqueológicos y etnográficos.  Editorial Kelly. 1956. Pág. 132, figura 14."
San Agustín,escultura,Guardián de tumba,No. 65,"Figura de rastros antropomorfos, ojos ovalados, nariz ancha, boca con dientes filudos, brazo derecho rígido, brazo izquierdo doblado y mano abierta sobre el brazo derecho",Bosque de las estatuas,"Procedente del montículo norte mesita B. Según los primeros arqueólogos este sitio fue muy saqueado; las estatuas removidas y las tumbas profanadas, de este montículo proceden las 31 esculturas columnares, denominadas “guardianes de tumba” , todas tienen características semejantes.",107 cm  x  33cm x 26 cm,"Talla poco profunda se trabaja con la forma de la piedra, los brazos son incisos con talla poco profunda , la cara es talla profunda","Sotomayor María Lucia, Uribe Maria Victoria. Estatuaria del Macizo Colombiano. Colcultura. Bogotá. 1987. Escultura No. 65"
San Agustín,escultura,Guardián de tumba,No. 70,"Figura de rastros antropomorfos, ojos ovalados, nariz ancha, boca pequeña lineal, brazo derecho y brazo izquierdo doblados en diagonal",Bosque de las estatuas,"Procedente del montículo norte mesita B. Según los primeros arqueólogos este sitio fue muy saqueado; las estatuas removidas y las tumbas profanadas, de este montículo proceden las 31 esculturas columnares, denominadas “guardianes de tumba” , todas tienen características semejantes.",67 cm  x  38cm x 32 cm,"Talla poco profunda se trabaja con la forma de la piedra, los brazos son incisos con talla poco profunda , la cara es talla profunda","Sotomayor María Lucia, Uribe Maria Victoria. Estatuaria del Macizo Colombiano. Colcultura. Bogotá. 1987. Escultura No 70"
San Agustín,escultura,Guardián de tumba,No. 72,"Figura de rostro antropomorfo; con ojos almendrados, colmillos felinos, nariz ancha; brazo izquierdo vertical y brazo derecho doblado con mano apoyada a la altura del antebrazo izquierdo. Presenta tocado en la cabeza.",Bosque de las estatuas,"Procedencia montículo norte. Mesita B. El arqueólogo Pérez de Barradas, identificó  31 estatuas columnares. Duque Gómez sugiere la posibilidad  de que hayan sido utilizadas para  formar un cerco alrededor del montículo.",105cm  x 40cm x 32 cm,Tallada poco profunda; se aprovecha la forma de la piedra,"Sotomayor María Lucia, Uribe Maria Victoria. Estatuaria del Macizo Colombiano. Colcultura. Bogotá. 1987. Pág. 64. Escultura No.72
Pérez de Barradas José. Arqueología agustiniana.. Excavaciones realizadas de marzo a diciembre de 1937. Imprenta nacional. Bogotá. 1943. Página 81; Lámina 99b"
San Agustín,escultura,Guardián de tumba,No.74,"Figura de rostro antropomorfo; con ojos almendrados, colmillos felinos, nariz ancha; brazo izquierdo vertical y brazo derecho doblado con mano apoyada a la altura del antebrazo izquierdo.",Bosque de las estatuas,"Procedencia montículo norte. Mesita B. El arqueólogo Pérez de Barradas, identificó  31 estatuas columnares. Duque Gómez sugiere la posibilidad  de que hayan sido utilizadas para  formar un cerco alrededor del montículo.",92cm  x 36cm x 32 cm,Tallada poco profunda; se aprovecha la forma de la piedra,"Sotomayor María Lucia, Uribe maria Victoria. Estatuaria del Macizo Colombiano. Colcultura. Bogotá. 1987. Pág. 64. Escultura No.74"
San Agustín,escultura,Guardián de tumba,No.75,"Representa una figura humana. Ojos cerrados, nariz ancha, boca con dientes puntiagudos. Brazo derecho  doblado y brazo izquierdo recto.",Bosque de las estatuas,Procedencia montículo norte mesita B.,92cm  x 60 cm x 17cm,"Talla poco profunda, inciso en la parte posterior.","Sotomayor María Lucia, Uribe maria Victoria. Estatuaria del Macizo Colombiano. Colcultura. Bogotá. 1987. Escultura No. 75"
San Agustín,escultura,Guardián de tumba,No.  76,"Representación humana, con ojos almendrados, nariz achatada y caninos entrecruzados, el brazo izquierdo  recto y mano abierta el derecho doblado y mano abierta y  sobre el brazo izquierdo.",Bosque de las estatuas,"Esta escultura provenía del montículo norte, mesita B.  El arqueólogo Pérez de Barradas identificó 31 estatuas  columnares, denominadas “guardianes de tumbas” todas tiene características similares.",74cm  x 43cm x 33 cm,Talla poco profunda; sin talla en la parte posterior.,"Sotomayor María Lucia, Uribe Maria Victoria. Estatuaria del Macizo Colombiano. Colcultura. Bogotá. 1987. Pág. 54. Escultura No. 76"
San Agustín,escultura,Guardián de tumba,No. 93,"Figura de rastros antropomorfos, ojos ovalados, nariz ancha, boca con dientes filudos, brazo izquierdo unido al derecho y doblados a la altura de la cintura",Bosque de las estatuas,"Procedente del montículo norte mesita B. Según los primeros arqueólogos este siitio fue muy saqueado; las estatuas removidas y las tumbas profanadas, de este montículo proceden las 31 esculturas columnares,denominadas “guardianes de tumba” , todas tienen caracteristicas semejantes.
En el año de 1987 se encontraba en la mesita D",49 cm  x  40cm x 29 cm,"Talla poco profunda se trabaja con la forma de la piedra, los brazos son incisos con talla poco profunda","Sotomayor María Lucia, Uribe maria Victoria. Estatuaria del Macizo Colombiano. Colcultura. Bogotá. 1987. Escultura No. 93"
